Date,PM2.5,PM10,NO2,CO
03.02.2018,115.2,252.92,76.62,1.32
04.02.2018,146.91,292.96,69.03,1.44
05.02.2018,183.53,351.23,98.76,2.15
06.02.2018,147.41,290.36,90.27,1.65
07.02.2018,137.08,272.28,74.15,1.73
08.02.2018,181.87,341.12,94.38,3.08
09.02.2018,223.15,402.12,87.34,3.22
10.02.2018,207.79,414.25,87.42,4.55
11.02.2018,163.37,332.23,78.65,2.66
12.02.2018,76.39,157.32,43.61,0.8
13.02.2018,111.73,190.07,70.56,1.35
14.02.2018,68.38,147.43,44.56,0.66
15.02.2018,84.13,174.02,50.75,0.88
16.02.2018,151.86,258.57,71.82,1.3
17.02.2018,143.49,281.74,72.12,1.38
18.02.2018,132.72,291.24,78.1,1.72
19.02.2018,154.23,323.32,92.56,2.76
20.02.2018,174.71,360.92,84.7,2.9
21.02.2018,159.92,372.38,102.97,4.35
22.02.2018,151.08,320.67,90.36,2.63
23.02.2018,152.67,348.54,97.27,2.87
24.02.2018,177.17,397.83,84.76,2.15
25.02.2018,103.5,248.46,56.39,0.97
26.02.2018,57.92,165.5,39.51,0.54
27.02.2018,77.14,202.99,62.31,1.22
28.02.2018,126.1,311.09,75.83,1.97
01.03.2018,104.81,272.3,77.15,2.07
02.03.2018,111.61,266.23,84.02,2.27
03.03.2018,91.8,252.87,68.72,1.45
04.03.2018,76.92,224.16,57.37,1.01
05.03.2018,62.36,177.97,53.82,0.97
06.03.2018,65.32,179.55,52.6,0.78
07.03.2018,86.56,217.09,70.47,1.39
08.03.2018,113.08,265.81,105.62,3.33
09.03.2018,121.45,286.47,82.7,2.65
10.03.2018,69.28,175.56,54,0.75
11.03.2018,90.76,236.1,65.99,1.28
12.03.2018,101.94,241.39,79.41,1.53
13.03.2018,101.37,268.59,86.68,2.27
14.03.2018,109.85,370.97,80.21,2.26
15.03.2018,102.42,318.02,78.84,1.19
16.03.2018,109.68,284.07,66.53,1.21
17.03.2018,112.96,256.48,55.24,0.85
18.03.2018,55.61,153.85,48.26,0.74
19.03.2018,84.26,224.76,85.68,1.57
20.03.2018,111.4,284.21,102.94,2.16
21.03.2018,141.8,336.62,68.33,1.61
22.03.2018,78.07,189.47,47.27,0.85
23.03.2018,62.79,156.52,53.04,0.85
24.03.2018,70.41,190.2,59.43,0.79
25.03.2018,75.35,220.2,59.79,0.88
26.03.2018,69.3,206.3,60.58,1.1
27.03.2018,86.79,248.01,80.71,1.93
28.03.2018,90.67,280.13,73.62,2.3
29.03.2018,94.25,225.31,61.36,1.03
30.03.2018,101.65,273.23,79.38,1.37
31.03.2018,114.96,350.46,71.5,1.37
01.04.2018,78.33,224.54,63.97,1.02
02.04.2018,92.71,259.46,84.4,1.6
03.04.2018,104.79,292.92,91.99,1.57
04.04.2018,101.71,296.42,91.43,2.23
05.04.2018,138.79,391,92.38,2.69
06.04.2018,98.96,237.09,71.23,1.19
07.04.2018,46.5,149.58,51.3,0.83
08.04.2018,46.58,149.17,45.27,0.75
09.04.2018,44.5,133.29,60.82,1.19
10.04.2018,93.1,270.69,67.41,1.41
11.04.2018,51.85,139.43,47.52,0.67
12.04.2018,40.18,120.71,60.08,0.97
13.04.2018,66.01,180.04,75.83,1.67
14.04.2018,86.64,241.75,84.23,2.03
15.04.2018,108.1,286.17,110.71,2.34
16.04.2018,127.17,361.83,98.29,2.28
17.04.2018,87.39,272.92,83.32,1.28
18.04.2018,76.13,237.46,57.04,0.68
19.04.2018,84.16,293.02,82.38,1.3
20.04.2018,83.35,393.98,27.25,0.86
21.04.2018,93.94,510.67,27.9,0.79
22.04.2018,40.46,210.1,26.7,0.79
23.04.2018,53.2,218.91,47.94,1.13
24.04.2018,84.33,279.41,76.91,1.69
25.04.2018,87.47,329.11,144.58,2.14
26.04.2018,133.69,464.26,83.72,1.75
27.04.2018,91.56,355.91,28.09,0.99
28.04.2018,77.49,350.32,21.69,0.87
29.04.2018,82.73,278.06,24.96,0.93
30.04.2018,81.72,233.8,28.7,0.95
01.05.2018,48.23,162.12,16.28,0.71
02.05.2018,51.31,175.3,17.36,0.73
03.05.2018,41.99,150.99,21.96,0.74
04.05.2018,43.69,128.4,26.15,0.85
05.05.2018,71.57,229.74,45.74,1.4
06.05.2018,99.16,305.36,66.03,1.24
07.05.2018,99.09,351.82,93.38,1.61
08.05.2018,49.49,142.15,16.27,0.73
09.05.2018,67.12,191.89,16.53,1.13
10.05.2018,92.14,247.3,23.28,1.35
11.05.2018,137.32,354.81,24.53,1.58
12.05.2018,159.04,418.33,28.51,1.57
13.05.2018,76,227.04,23.98,0.92
14.05.2018,54.12,161.21,36.94,0.92
15.05.2018,71.92,200.42,45.85,1.12
16.05.2018,74.71,254.3,34.01,1.22
17.05.2018,96.21,318.67,29.2,1.13
18.05.2018,94,280.79,29.29,1.29
19.05.2018,99.29,327.29,43.74,1.43
20.05.2018,70.92,238.08,24.8,1.1
21.05.2018,56.12,229.21,19.4,1.17
22.05.2018,81.12,282.62,18.23,1.58
23.05.2018,115.92,359.33,31.71,2
24.05.2018,113.42,344.04,19.02,2
25.05.2018,82.67,304.88,24.84,1.76
26.05.2018,86.5,280.21,25.37,1.6
27.05.2018,85.17,354.25,23.82,1.3
28.05.2018,97.75,303.71,15.69,1.51
29.05.2018,103.08,351.75,26.25,1.29
30.05.2018,56.04,315.42,28.9,1
31.05.2018,75.62,282.5,17.76,1.09
01.06.2018,68.62,250.04,21.44,0.91
02.06.2018,42.96,157.17,11.53,0.81
03.06.2018,82.08,146,13.46,0.87
04.06.2018,57.5,194.75,12.66,0.94
05.06.2018,48,164.17,12.07,0.92
06.06.2018,56.79,181.08,15.39,0.97
07.06.2018,68.9,191.89,14.17,2.24
08.06.2018,75.13,245.45,29.51,0.39
09.06.2018,48.25,134.1,15.69,1.99
10.06.2018,59.08,161.5,15.13,1
11.06.2018,65.58,252.08,16.75,1.13
12.06.2018,119.92,521.44,14.92,0.96
13.06.2018,208.62,869.75,14.99,0.83
14.06.2018,154.12,850.72,15.28,0.76
15.06.2018,106.67,563.59,15.77,0.83
16.06.2018,95.67,560.92,12.33,0.87
17.06.2018,77.04,322.33,12.89,0.86
18.06.2018,54.92,197.38,13.4,0.93
19.06.2018,48.88,169.29,13.22,0.9
20.06.2018,64.49,256.76,16.39,1.13
21.06.2018,69.47,299.11,17.24,1.05
22.06.2018,85.2,319.09,32.42,1.33
23.06.2018,76.19,290.99,21.31,1.19
24.06.2018,31.72,213.66,24.05,1.12
25.06.2018,0,0,30.64,1.08
26.06.2018,13.96,195.79,30.39,1.18
27.06.2018,44.57,130.62,21.37,1.25
28.06.2018,15.71,58.55,15.67,1.07
29.06.2018,30.52,75.6,18.93,1.33
30.06.2018,32.23,88.58,19.78,1.26
01.07.2018,26.06,100.62,15.94,1.12
02.07.2018,22.17,92.58,15.53,1.04
03.07.2018,38.42,113.23,18.35,1.18
04.07.2018,36,119.31,16.19,1.14
05.07.2018,43.62,153.25,20.23,1.65
06.07.2018,45.69,190.85,25.46,1.49
07.07.2018,58.83,184.23,23.06,1.33
08.07.2018,75.42,223.56,20.07,1.45
09.07.2018,59.66,164.81,13.78,1.2
10.07.2018,35.9,106.23,11.95,1.09
11.07.2018,33.3,106.39,15.54,1.26
12.07.2018,37.88,131.28,20.82,1.2
13.07.2018,19.54,55.85,18.46,1.19
14.07.2018,22.54,58.84,14.92,1.1
15.07.2018,25.82,65.58,16.16,1.11
16.07.2018,32.7,85.62,20.02,1.34
17.07.2018,21.26,75.95,16.19,1.12
18.07.2018,26.78,94.57,17.1,1.11
19.07.2018,23.42,75.46,14.92,1.1
20.07.2018,32.41,77.64,23.83,1.12
21.07.2018,42.43,97.08,22.17,0.88
22.07.2018,14.56,46.9,16.55,0.66
23.07.2018,28.09,72.74,16.51,0.78
24.07.2018,19.47,70.65,15.35,0.62
25.07.2018,19.99,67.01,17.23,0.82
26.07.2018,21.94,59.75,17.39,0.8
27.07.2018,14.51,35.93,18.73,0.88
28.07.2018,29.23,67.17,19.01,0.99
29.07.2018,34.21,126.33,17.58,0.83
30.07.2018,29.52,129.58,18.53,0.87
31.07.2018,38.73,177.9,21.15,0.87
01.08.2018,43.58,225.13,18.69,0.88
02.08.2018,54.77,297.19,17.35,0.83
03.08.2018,48.67,273.58,17.78,0.79
04.08.2018,52.25,278.92,18.01,0.59
05.08.2018,48.12,244.5,13.04,0.58
06.08.2018,49.23,140.77,14.75,0.76
07.08.2018,36.27,102.69,14.77,0.96
08.08.2018,28.04,83.96,14.32,0.76
09.08.2018,29.43,84.03,15.62,0.63
10.08.2018,51.61,140.83,38.98,2.13
11.08.2018,34.67,130.94,29.86,0.84
12.08.2018,28,127,0,0.7
13.08.2018,30.65,117,18.98,0.71
14.08.2018,45.31,136.77,19.76,0.84
15.08.2018,36.46,109.02,11.38,0.54
16.08.2018,29.79,86.85,16.28,0.88
17.08.2018,27.56,81.15,12.57,0.68
18.08.2018,28.56,79.69,13.12,0.59
19.08.2018,35.67,82.54,15.56,1.01
20.08.2018,47.36,108.32,16.46,1.33
21.08.2018,22.52,74.56,13.82,1.07
22.08.2018,27.04,74.92,14,0.99
23.08.2018,22.73,67.67,12.51,0.89
24.08.2018,16.19,81.53,11.56,0.92
25.08.2018,12.18,69.38,9.83,0.95
26.08.2018,17.58,77.79,8.86,0.38
27.08.2018,25.2,60.13,11.02,0.86
28.08.2018,27.29,50.48,10.07,0.43
29.08.2018,24.09,44.36,9.76,0.9
30.08.2018,46.83,118.07,21.43,0
31.08.2018,51.29,161.98,14.57,0
01.09.2018,53.04,120.56,18.2,3.52
02.09.2018,40.08,76.27,13.35,0.89
03.09.2018,45.92,72.15,25,0.67
04.09.2018,56.67,101.17,67.95,0.98
05.09.2018,42.82,120.61,41.26,3.92
06.09.2018,40.85,125.15,58.64,1.01
07.09.2018,47.94,101.26,89.35,0.89
08.09.2018,32.56,70.23,0,0.5
09.09.2018,22.98,48.54,0,0.37
10.09.2018,32.45,65,36.33,0.5
11.09.2018,29.61,92.66,27.09,1.83
12.09.2018,28.83,109.25,19.1,0.86
13.09.2018,29.62,125.85,17.06,0.45
14.09.2018,32.25,123.09,18.75,0.45
15.09.2018,37.46,128.1,19.04,0.49
16.09.2018,41.39,130.84,16.39,0.34
17.09.2018,55.74,171.03,19.05,0.43
18.09.2018,55.17,175.06,18.55,0.35
19.09.2018,61.73,191.39,20.13,0.62
20.09.2018,82.82,212.5,17.31,0.61
21.09.2018,39.32,106.81,9.89,0.23
22.09.2018,23.92,46.44,6.99,0.34
23.09.2018,30.02,56.35,5.61,0.49
24.09.2018,21.92,42.06,7.87,0.7
25.09.2018,26.92,64.69,8.89,0.92
26.09.2018,44.33,121.35,10.86,1.31
27.09.2018,77.33,185.48,12.77,1.92
